date,home_team,away_team,FTHG_RA,FTAG_RA,HTHG_RA,HTAG_RA,HS_RA,AS_RA,HST_RA,AST_RA,HC_RA,AC_RA,HR_RA,AR_RA,B365H_RA,B365A_RA,BWH_RA,BWA_RA,PSH_RA,PSA_RA,WHH_RA,WHA_RA,MaxH_RA,MaxA_RA,AvgH_RA,AvgA_RA,B365AHH_RA,B365AHA_RA,PAHH_RA,PAHA_RA,MaxAHH_RA,MaxAHA_RA,AvgAHH_RA,AvgAHA_RA,B365CH_RA,B365CA_RA,BWCH_RA,BWCA_RA,PSCH_RA,PSCA_RA,WHCH_RA,WHCA_RA,MaxCH_RA,MaxCA_RA,AvgCH_RA,AvgCA_RA,B365CAHH_RA,B365CAHA_RA,PCAHH_RA,PCAHA_RA,MaxCAHH_RA,MaxCAHA_RA,AvgCAHH_RA,AvgCAHA_RA,B365D_RA_HomeTeam,B365D_RA_AwayTeam,BWD_RA_HomeTeam,BWD_RA_AwayTeam,PSD_RA_HomeTeam,PSD_RA_AwayTeam,WHD_RA_HomeTeam,WHD_RA_AwayTeam,MaxD_RA_HomeTeam,MaxD_RA_AwayTeam,AvgD_RA_HomeTeam,AvgD_RA_AwayTeam,B365CD_RA_HomeTeam,B365CD_RA_AwayTeam,BWCD_RA_HomeTeam,BWCD_RA_AwayTeam,PSCD_RA_HomeTeam,PSCD_RA_AwayTeam,WHCD_RA_HomeTeam,WHCD_RA_AwayTeam,MaxCD_RA_HomeTeam,MaxCD_RA_AwayTeam,AvgCD_RA_HomeTeam,AvgCD_RA_AwayTeam,FTR
5/10/2024 12:30,Crystal Palace,Liverpool,0.8,2,0.2,1.4,13.8,14.6,3.6,7,5,6.2,0,0,2.856,1.394,2.814,1.402,2.892,1.384,2.866,1.394,2.948,1.424,2.858,1.392,1.924,1.958,1.918,1.934,1.958,1.98,1.902,1.926,2.74,1.388,2.768,1.41,2.838,1.404,2.84,1.396,2.932,1.432,2.824,1.396,1.92,1.938,1.92,1.944,1.994,1.95,1.92,1.904,3.796,5.69,3.82,5.92,3.864,6.116,3.766,5.84,4.016,6.44,3.856,5.974,3.776,5.92,3.74,5.98,3.8,6.354,3.74,5.84,3.974,6.528,3.796,6.118,A
5/10/2024 15:00,West Ham,Ipswich,1,1,0.2,0.6,14.6,9.2,3.6,3.4,4.2,6.2,0,0,4,7.74,3.95,8.15,4.16,8.896,4.136,8.86,4.272,10.674,4.078,9.056,1.908,1.89,1.912,1.902,1.926,1.93,1.884,1.884,4.2,7.776,4.02,7.29,4.322,9.398,4.22,9.14,4.508,9.832,4.184,8.722,1.934,1.878,1.936,1.924,1.964,1.974,1.906,1.912,3.95,5.55,3.95,5.71,4.082,5.828,3.85,5.36,4.196,6.152,4.022,5.624,3.92,5.01,3.92,5.3,4,5.222,3.92,5.01,4.112,6.116,3.958,5.314,H
5/10/2024 15:00,Man City,Fulham,2.4,1.6,1.8,1,20.8,16.8,7.4,5.6,9.4,5.4,0,0,1.408,2.496,1.418,2.464,1.414,2.496,1.43,2.522,1.444,2.602,1.416,2.498,2.016,1.96,2.014,1.962,2.042,2.004,1.984,1.938,1.418,2.456,1.438,2.48,1.444,2.538,1.43,2.498,1.466,2.612,1.426,2.506,1.974,1.992,1.956,1.994,1.994,2.018,1.912,1.966,6.686,3.44,6.686,3.55,7.096,3.518,6.266,3.46,7.49,3.656,6.79,3.512,6.12,3.39,6.34,3.42,6.268,3.476,5.9,3.42,7.36,3.538,6.4,3.438,H
5/10/2024 15:00,Arsenal,Southampton,2,0.6,1,0.2,13.6,9.8,6.8,3.4,5.8,3.6,0.4,0.2,2.21,3.726,2.24,3.73,2.23,3.776,2.226,3.77,2.314,3.948,2.232,3.75,1.968,1.942,1.966,1.95,1.992,1.978,1.944,1.926,2.378,3.916,2.326,3.756,2.37,4.04,2.348,3.8,2.48,4.19,2.364,3.902,1.936,1.972,1.928,2.002,1.958,2.062,1.902,1.972,4.88,3.76,4.89,3.82,5.08,3.836,4.7,3.78,5.28,3.994,4.922,3.828,4.73,3.846,4.68,3.84,4.694,3.948,4.65,3.75,5.012,3.998,4.722,3.87,H
5/10/2024 15:00,Brentford,Wolves,1.2,1.2,0.8,1,10,10.6,4.6,3.8,4,3.8,0,0,6.49,4.936,6.79,4.82,6.846,5.022,7.1,4.96,7.638,5.194,6.914,4.956,1.988,1.93,1.986,1.946,2.04,1.95,1.98,1.908,7.6,4.76,6.6,4.89,7.346,5.054,7.6,5.22,8.052,5.402,7.178,5.04,1.942,1.972,1.924,1.97,1.98,2.016,1.912,1.962,5.13,4.23,5.35,4.2,5.556,4.308,5.2,4.2,5.928,4.446,5.458,4.258,5.48,4.13,5.34,4.26,5.504,4.306,5.15,4.236,5.806,4.458,5.45,4.274,H
5/10/2024 15:00,Leicester,Bournemouth,1.4,1.4,0.4,0.8,9,17,3.2,6,2.8,6.8,0,0,6.33,3.9,6.106,3.91,6.294,4.018,6.386,3.834,7.156,4.166,6.404,3.982,1.856,1.878,1.862,1.868,1.894,1.896,1.852,1.854,5.69,3.896,5.93,3.786,6.66,4.118,6.56,3.924,6.81,4.228,6.248,4.002,2.004,1.958,1.998,1.956,2.028,2.034,1.974,1.958,4.63,4.27,4.58,4.38,4.718,4.362,4.42,4.36,4.958,4.56,4.63,4.352,4.47,4.286,4.36,4.37,4.404,4.488,4.36,4.32,4.656,4.63,4.416,4.424,H
5/10/2024 17:30,Everton,Newcastle,1.4,1.4,0.6,0.2,11.6,12.6,3.6,4.4,4.2,5.6,0,0,4.266,2.89,4.21,2.82,4.394,2.906,4.35,2.87,4.514,2.976,4.284,2.882,2.016,1.948,2.008,1.96,2.044,1.98,1.996,1.932,4.39,2.85,4.36,2.9,4.612,2.918,4.54,2.864,4.77,3.108,4.486,2.908,1.984,2.024,1.99,2.022,2.018,2.08,1.952,2.006,3.81,3.806,3.94,3.916,3.896,3.896,3.9,3.846,4.088,4.036,3.932,3.888,3.83,3.7,3.87,3.78,3.996,3.816,3.96,3.75,4.116,3.902,3.924,3.788,D
6/10/2024 14:00,Chelsea,Nott'm Forest,3,1,1.8,0.4,12.8,11.8,6,4,5,5.2,0,0.2,1.806,4.786,1.832,4.734,1.842,4.93,1.85,4.962,1.882,5.056,1.84,4.776,2.01,1.97,2.022,1.98,2.036,2.016,1.992,1.96,1.89,4.566,1.91,4.46,1.932,5.032,1.902,5.02,1.954,5.108,1.904,4.78,1.962,1.918,1.958,1.928,1.972,1.948,1.916,1.894,4.046,4.11,4.04,4.22,4.126,4.288,4.036,4.12,4.238,4.478,4.096,4.236,3.966,4.03,3.95,4.1,4.022,4.266,3.98,4.06,4.17,4.334,4.016,4.152,D
6/10/2024 14:00,Aston Villa,Man United,2,0.8,0.8,0.4,10.8,13,4.6,5,4,6.4,0,0.2,2.19,2.536,2.19,2.546,2.242,2.64,2.218,2.586,2.312,2.684,2.224,2.594,1.918,2.032,1.908,2.05,1.942,2.066,1.892,2.006,2.354,2.536,2.362,2.544,2.444,2.576,2.4,2.568,2.464,2.658,2.386,2.544,1.938,1.962,1.948,1.982,1.976,1.994,1.904,1.928,3.99,3.88,4.08,3.89,4.152,3.952,4.02,3.86,4.31,4.096,4.116,3.914,3.79,3.88,3.86,3.78,3.942,3.886,3.906,3.72,4.078,4.012,3.914,3.85,D
6/10/2024 16:30,Brighton,Tottenham,1.4,2.2,1,1,17.2,19,4.6,7.6,6.2,8.6,0,0,3.666,2.248,3.632,2.252,3.62,2.28,3.706,2.252,3.978,2.326,3.64,2.262,1.954,1.898,1.964,1.902,2.002,1.934,1.944,1.876,3.41,2.258,3.47,2.298,3.674,2.31,3.696,2.264,3.82,2.432,3.598,2.298,1.944,2.02,1.968,2.016,2.002,2.084,1.94,2,4.43,4.1,4.48,4.27,4.574,4.224,4.44,4.18,4.722,4.42,4.52,4.224,4.34,4.29,4.32,4.23,4.374,4.406,4.25,4.33,4.51,4.562,4.344,4.328,H
19/10/2024 12:30,Tottenham,West Ham,1.8,1.4,1,0.6,19,15.6,6.8,5.6,7.6,4.6,0,0,2.4,3.72,2.416,3.67,2.44,3.856,2.404,3.836,2.484,3.972,2.42,3.788,1.902,1.918,1.904,1.916,1.936,1.934,1.876,1.892,2.416,3.84,2.474,3.65,2.496,3.938,2.454,3.842,2.616,4.122,2.478,3.822,2.02,1.932,2.02,1.934,2.068,1.958,1.998,1.91,3.95,3.99,4.07,4.03,4.048,4.15,4.02,3.93,4.236,4.264,4.036,4.088,4.02,3.9,3.94,3.93,4.064,4,3.99,3.93,4.236,4.102,4.036,3.96,H
19/10/2024 15:00,Southampton,Leicester,0.8,1.4,0.2,0.4,10.4,8.2,3.6,2.8,3,1.8,0.2,0,6.616,6.11,6.63,5.86,7.084,6.052,7.07,6.16,7.616,6.896,6.962,6.176,1.978,1.898,1.978,1.902,2.018,1.93,1.952,1.886,6.056,5.57,6.196,5.81,7.316,6.548,6.74,6.42,7.416,6.61,6.492,6.106,1.972,1.972,2.002,1.97,2.038,1.996,1.966,1.942,4.9,4.63,5.04,4.57,5.072,4.71,4.8,4.42,5.31,4.942,5.004,4.616,4.646,4.5,4.74,4.38,4.876,4.404,4.47,4.38,5.04,4.664,4.772,4.432,A
19/10/2024 15:00,Newcastle,Brighton,1.2,1.6,0.2,0.8,12.6,16.6,4,4.4,5.8,6.2,0,0,2.89,3.746,2.82,3.702,2.904,3.708,2.86,3.786,2.97,4.068,2.878,3.72,1.942,1.968,1.956,1.976,1.976,2.008,1.928,1.946,2.72,3.53,2.76,3.58,2.782,3.778,2.74,3.8,2.968,3.918,2.776,3.694,2.026,1.918,2.028,1.924,2.074,1.956,2.01,1.898,3.766,4.49,3.856,4.53,3.868,4.64,3.826,4.5,4,4.784,3.852,4.578,3.72,4.36,3.79,4.34,3.838,4.412,3.77,4.29,3.932,4.55,3.806,4.386,A
19/10/2024 15:00,Fulham,Aston Villa,1.6,2,1,0.8,15.4,10.8,5.2,4.2,4.6,4.4,0,0,4.036,1.764,4.304,1.79,4.26,1.776,4.556,1.792,4.622,1.822,4.354,1.784,1.954,1.928,1.938,1.918,1.986,1.954,1.918,1.902,4.086,1.874,4.2,1.902,4.436,1.92,4.316,1.89,4.63,1.944,4.316,1.894,1.998,1.922,1.998,1.944,2.032,1.974,1.97,1.898,4.09,3.98,4.15,4.04,4.214,4.13,3.92,3.98,4.398,4.288,4.136,4.096,3.94,3.77,3.95,3.84,4.018,3.902,3.9,3.856,4.118,4.044,3.976,3.882,A
19/10/2024 15:00,Ipswich,Everton,1,1.4,0.6,0.6,10.8,11.2,3.6,3.8,7,3.2,0,0,4.406,3.606,4.37,3.48,4.612,3.624,4.526,3.57,4.764,3.704,4.512,3.564,1.89,2.016,1.906,2.008,1.926,2.04,1.88,1.998,3.936,3.63,3.87,3.53,4.008,3.754,4.12,3.56,4.268,3.862,4.018,3.638,1.87,1.98,1.91,1.99,1.952,2.01,1.898,1.95,3.91,3.58,3.99,3.66,3.99,3.64,3.94,3.68,4.172,3.822,3.982,3.666,3.77,3.52,3.75,3.57,3.79,3.618,3.76,3.6,3.898,3.75,3.784,3.594,A
19/10/2024 15:00,Man United,Brentford,0.6,2.2,0.4,1.6,12.8,12.2,5,6.6,6.2,5.2,0.2,0,2.61,4.7,2.626,5.09,2.706,5.252,2.666,5.32,2.766,5.766,2.668,5.258,2.014,1.956,2.03,1.962,2.048,2.006,1.99,1.94,2.58,5.42,2.574,4.81,2.63,5.268,2.592,5.41,2.714,5.774,2.594,5.224,2,1.978,2.008,1.976,2.032,2.02,1.96,1.954,3.89,4.7,3.88,4.72,3.994,4.87,3.86,4.62,4.12,5.178,3.934,4.83,3.9,4.78,3.8,4.66,3.902,4.676,3.75,4.57,4.03,4.996,3.878,4.732,H
