Average_goals_scored_last10,Average_HT_goals_scored_last10,Average_shots_last10,Average_shots_on_target_last10,Average_fouls_last10,Average_corners_last10,Average_yellow_cards_last10,Average_red_cards_last10,Average_goals_conceded_last10,Average_HT_goals_conceded_last10,Average_shots_conceded_last10,Average_shots_on_target_conceded_last10,Average_fouls_conceded_last10,Average_corners_conceded_last10,Average_yellow_cards_conceded_last10,Average_red_cards_conceded_last10,Average_B365Odds_last10,Average_B365Odds_Against_last10,Average_B365DrawOdds_last10,Average_BWOdds_last10,Average_BWOdds_against_last10,Average_BWDrawOdds_last10,Average_WHOdds_last10,Average_WHOdds_Against_last10
2.3,1.4,13.8,5.2,10.3,7.1,1.8,0.0,1.4419999999999997,5.1530000000000005,1.4560000000000002,5.14,1.451,4.86,0.7,0.6,7.2,2.3,9.1,1.9,2.3,0.0,7.9079999999999995,7.890000000000001
1.4,0.5,14.8,4.1,9.9,4.5,2.1,0.0,4.461,4.215,4.448,4.24,4.436,4.14,2.2,1.1,17.3,6.5,12.7,5.5,1.6,0.0,2.198,2.209
0.9,0.3,8.2,3.0,10.8,3.3,1.8,0.0,7.26,5.215000000000001,7.37,5.345,7.626,5.180000000000001,2.5,1.1,16.6,6.6,10.0,6.2,1.5,0.0,1.688,1.7040000000000002
1.8,0.7,10.9,4.6,8.6,4.4,1.4,0.1,3.9939999999999998,4.138,3.963,4.195,3.928,4.1000000000000005,1.5,0.9,17.3,5.6,8.9,5.6,1.1,0.1,2.3209999999999997,2.2909999999999995
2.4,1.3,15.9,5.0,10.0,5.8,1.6,0.0,2.14,4.220000000000001,2.1500000000000004,4.209999999999999,2.1510000000000002,4.14,1.1,0.4,11.2,3.8,11.9,4.3,2.1,0.1,4.4159999999999995,4.4030000000000005
1.4,0.6,12.4,3.9,11.2,4.1,1.4,0.1,3.2640000000000002,4.385,3.3880000000000003,4.4350000000000005,3.4299999999999997,4.333,1.6,0.6,10.8,4.4,9.9,4.9,1.6,0.0,3.7950000000000004,3.806
1.0,0.7,9.2,3.5,12.2,3.5,2.6,0.0,6.13,4.695,6.334999999999999,4.735,6.2700000000000005,4.555000000000001,1.4,0.5,15.4,5.0,9.3,7.2,1.3,0.1,1.666,1.684
2.2,1.2,13.7,5.1,9.9,6.4,1.7,0.0,1.557,4.968,1.56,4.965,1.5610000000000002,4.71,0.7,0.5,7.9,2.4,9.4,1.9,2.6,0.0,7.478,7.545
2.4,1.2,15.9,5.1,9.6,5.9,1.7,0.0,2.274,4.0,2.279,3.9899999999999998,2.2849999999999997,3.9799999999999995,1.2,0.5,10.8,3.4,11.9,4.5,2.0,0.1,3.886,3.8980000000000006
0.9,0.3,6.7,3.1,10.6,3.4,1.9,0.0,7.519999999999999,5.404999999999999,7.745,5.5,8.001,5.3100000000000005,2.6,1.3,17.0,6.5,10.3,6.0,1.5,0.0,1.6350000000000002,1.6469999999999998
0.5,0.3,11.9,2.9,12.3,4.4,2.6,0.0,4.843,4.095,5.015,4.13,5.023999999999999,3.993,0.9,0.4,12.5,4.7,10.2,5.4,1.2,0.1,2.139,2.135
1.5,0.7,11.0,3.9,10.3,3.6,2.0,0.0,4.058,3.755,3.928,3.8549999999999995,4.045,3.755,1.2,0.4,13.1,4.7,10.0,6.2,2.0,0.1,2.562,2.5149999999999997
1.9,1.0,17.8,6.6,12.3,6.2,1.9,0.1,1.693,4.485,1.73,4.56,1.7240000000000002,4.465,1.2,0.4,9.6,4.4,11.5,3.7,2.4,0.1,5.425,5.383
1.9,0.8,10.3,4.6,9.0,4.6,1.6,0.1,3.7690000000000006,4.068,3.753,4.1049999999999995,3.7279999999999993,4.01,1.5,1.0,16.7,5.1,10.1,5.5,1.5,0.1,2.429,2.4059999999999997
