match_id,date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,WHH,WHD,WHA
4555,2016-09-12 12:00:00,Sunderland,Everton,0.0,3.0,3,0.0,0.0,D,M Jones,11.0,20.0,2.0,9.0,11.0,8.0,5.0,4.0,1.0,1.0,0.0,0.0,3.8,3.5,2.1,3.8,3.5,2.1,3.75,3.2,2.1
4556,2016-09-16 12:00:00,Chelsea,Liverpool,1.0,2.0,3,0.0,2.0,A,M Atkinson,12.0,13.0,4.0,5.0,6.0,13.0,6.0,4.0,1.0,1.0,0.0,0.0,2.25,3.5,3.4,2.25,3.5,3.3,2.3,3.4,3.4
4557,2016-09-17 12:00:00,Everton,Middlesbrough,3.0,1.0,1,3.0,1.0,H,L Mason,11.0,7.0,6.0,0.0,5.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,1.67,3.8,6.0,1.65,3.8,5.5,1.7,3.2,6.0
4558,2016-09-17 12:00:00,Hull,Arsenal,1.0,4.0,3,0.0,1.0,A,R East,6.0,24.0,2.0,9.0,9.0,12.0,2.0,4.0,0.0,2.0,1.0,0.0,6.0,4.2,1.6,6.0,4.0,1.57,6.0,3.6,1.62
4559,2016-09-17 12:00:00,Leicester,Burnley,3.0,0.0,1,1.0,0.0,H,A Taylor,14.0,7.0,6.0,2.0,10.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,1.5,4.33,8.0,1.53,4.1,6.5,1.5,3.75,8.0
4560,2016-09-17 12:00:00,Man City,Bournemouth,4.0,0.0,1,2.0,0.0,H,J Moss,20.0,6.0,12.0,2.0,8.0,11.0,5.0,5.0,1.0,1.0,1.0,0.0,1.29,6.0,12.0,1.26,6.25,10.0,1.29,5.0,12.0
4561,2016-09-17 12:00:00,West Brom,West Ham,4.0,2.0,1,3.0,0.0,H,M Clattenburg,8.0,23.0,6.0,5.0,14.0,6.0,2.0,6.0,2.0,1.0,0.0,0.0,2.8,3.2,2.8,2.75,3.1,2.75,2.7,3.1,2.7
4562,2016-09-18 12:00:00,Crystal Palace,Stoke,4.0,1.0,1,2.0,0.0,H,C Pawson,14.0,11.0,8.0,4.0,15.0,9.0,10.0,5.0,2.0,1.0,0.0,0.0,2.0,3.5,4.2,2.0,3.4,3.9,2.05,3.1,4.0
4563,2016-09-18 12:00:00,Southampton,Swansea,1.0,0.0,1,0.0,0.0,D,M Jones,19.0,9.0,6.0,3.0,14.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,1.7,3.8,5.75,1.65,3.6,5.25,1.7,3.4,5.5
4564,2016-09-18 12:00:00,Tottenham,Sunderland,1.0,0.0,1,0.0,0.0,D,M Dean,31.0,6.0,9.0,2.0,7.0,16.0,14.0,1.0,1.0,5.0,0.0,1.0,1.33,5.5,11.0,1.28,5.5,9.25,1.33,4.33,12.0
