team,Gls,Poss
Arsenal,65,56.8
Aston Villa,56,51.0
Bournemouth,54,48.3
Brentford,64,47.8
Brighton,60,52.0
Chelsea,60,57.3
Crystal Palace,44,43.4
Everton,38,41.1
Fulham,53,52.4
Ipswich Town,34,40.5
Leicester City,33,45.6
Liverpool,84,57.4
Manchester City,66,61.7
Manchester Utd,40,53.2
Newcastle Utd,66,50.9
Nott'ham Forest,57,40.9
Southampton,24,48.8
Tottenham,60,55.2
West Ham,40,48.2
Wolves,50,47.5
